region, city_town, egm_numbers_as_at_31_december_2018, lga_name, expenditure_1_jul_18_31_dec_18, venue_name, ven_type, postcode, long, objectid, lat
"Metro","EAST BRUNSWICK",55,"City of Moreland",1208422,"ABRUZZO CLUB","Club",3057,144.9723969,1,-37.766
"Metro","KEYSBOROUGH",77,"City of Greater Dandenong",1892847,"ACES SPORTING CLUB","Club",3173,145.1419983,2,-38.0098
"Metro","NORTHCOTE",50,"City of Darebin",2908972,"ALBION CHARLES HOTEL","Hotel",3070,144.9904022,4,-37.7771
"Metro","DANDENONG",24,"City of Greater Dandenong",1289415,"ALBION HOTEL","Hotel",3175,145.213501,5,-37.9859
"Country","HAMILTON",35,"Shire of Southern Grampians",1244982,"ALEXANDRA HOUSE SPORTS CLUB","Club",3300,142.0231934,7,-37.7398
"Country","BENDIGO",100,"City of Greater Bendigo",5842414,"ALL SEASONS INTERNATIONAL HOTEL BENDIGO","Hotel",3550,144.3115997,8,-36.7583
"Metro","ALTONA",37,"City of Hobsons Bay",1033804,"ALTONA BOWLING CLUB","Club",3018,144.8325043,11,-37.8642
"Metro","ALTONA",58,"City of Hobsons Bay",1842014,"ALTONA RSL","Club",3018,144.8287964,14,-37.8675
"Metro","SEAHOLME",83,"City of Hobsons Bay",2412211,"ALTONA SPORTS CLUB","Club",3018,144.8493042,15,-37.8641
"Country","Echuca",42,"Shire of Campaspe",654761,"AMERICAN HOTEL","Hotel",3564,144.7480927,17,-36.1241
"Metro","CRANBOURNE",80,"City of Casey",3489193,"AMSTEL GOLF CLUB","Club",3977,145.2579956,18,-38.1112
"Metro","MALVERN",0,"City of Stonnington",1050233,"ANGEL TAVERN","Hotel",3144,145.0278931,19,-37.8659
"Metro","MALVERN",45,"City of Stonnington",811294,"ANGEL TAVERN","Hotel",3144,145.0278931,19,-37.8659
"Country","ANGLESEA",34,"Shire of Surf Coast",350220,"ANGLESEA GOLF CLUB","Club",3230,144.1705933,21,-38.406
"Country","ARARAT",55,"Rural City of Ararat",2021031,"ARARAT RSL","Club",3377,142.9337006,24,-37.283
"Metro","BRAYBROOK",50,"City of Maribyrnong",5068838,"ASHLEY HOTEL","Hotel",3019,144.8647003,27,-37.7802
"Country","COLAC",23,"Shire of Colac-Otway",1094979,"AUSTRAL HOTEL","Hotel",3250,143.5845947,31,-38.3395
"Country","BELL PARK",30,"City of Greater Geelong",1942489,"AUSTRALIAN CROATIAN NATIONAL HALL","Club",3215,144.3419952,33,-38.1109
"Country","BACCHUS MARSH",30,"Shire of Moorabool",542324,"BACCHUS MARSH GOLF CLUB","Club",3340,144.427002,34,-37.6396
"Country","BAIRNSDALE",26,"Shire of East Gippsland",957079,"BAIRNSDALE BOWLS CLUB","Club",3875,147.6199951,36,-37.824
"Country","BAIRNSDALE",15,"Shire of East Gippsland",500439,"BAIRNSDALE CLUB","Club",3875,147.6302948,37,-37.8244
"Country","BAIRNSDALE",51,"Shire of East Gippsland",2543402,"BAIRNSDALE RSL","Club",3875,147.6105957,38,-37.8322
"Country","BAIRNSDALE",37,"Shire of East Gippsland",1518507,"BAIRNSDALE SPORTING AND CONVENTION CENTRE","Club",3875,147.6472015,39,-37.8093
"Metro","ABBOTSFORD",32,"City of Yarra",2369765,"BAKERS ARMS HOTEL","Hotel",3067,144.996994,40,-37.8099
"Metro","BALACLAVA",45,"City of Port Phillip",3347763,"BALACLAVA HOTEL","Hotel",3183,144.9909973,41,-37.8687
"Country","BALLARAT",50,"City of Ballarat",2754929,"BALLARAT & DISTRICT TROTTING CLUB","Club",3350,143.8311005,43,-37.5781
"Country","BALLARAT",28,"City of Ballarat",1121761,"BALLARAT GOLF CLUB","Club",3350,143.8058014,44,-37.5481
"Country","BALLARAT",54,"City of Ballarat",1727856,"BALLARAT LEAGUES CLUB","Club",3350,143.866806,45,-37.5603
"Metro","MELBOURNE",22,"City of Melbourne",1369604,"BATMAN'S HILL ON COLLINS","Hotel",3000,144.9546051,53,-37.8192
"Metro","BAXTER",0,"Shire of Mornington Peninsula",390134,"BAXTER TAVERN HOTEL MOTEL","Hotel",3911,145.1607971,54,-38.196
"Metro","BAXTER",45,"Shire of Mornington Peninsula",2083078,"BAXTER TAVERN HOTEL MOTEL","Hotel",3911,145.1607971,54,-38.196
"Metro","BAYSWATER",80,"City of Knox",4766739,"BAYSWATER HOTEL","Hotel",3153,145.2680054,55,-37.8409
"Country","HAMLYN HEIGHTS",28,"City of Greater Geelong",376923,"BELL PARK SPORT & RECREATION CLUB","Club",3215,144.3318024,56,-38.1232
"Metro","SOUTH MELBOURNE",40,"City of Port Phillip",1801271,"BELL'S HOTEL","Hotel",3205,144.9626007,57,-37.8309
"Country","BENALLA",50,"Rural City of Benalla",1198597,"BENALLA BOWLS CLUB","Club",3672,145.9759979,59,-36.5525
"Country","BENALLA",25,"Rural City of Benalla",462265,"BENALLA GOLF CLUB","Club",3672,145.957901,60,-36.5721
"Country","BENDIGO",93,"City of Greater Bendigo",4074655,"BENDIGO DISTRICT RSL CLUB","Club",3550,144.2682953,61,-36.7392
"Country","GOLDEN SQUARE",105,"City of Greater Bendigo",3475199,"BENDIGO STADIUM","Club",3555,144.2478027,62,-36.7586
"Metro","BENTLEIGH",88,"City of Glen Eira",1478429,"BENTLEIGH CLUB","Club",3204,145.0272064,64,-37.9132
"Metro","BENTLEIGH",90,"City of Glen Eira",4160281,"BENTLEIGH RSL","Club",3204,145.0424957,65,-37.9191
"Metro","BERWICK",63,"City of Casey",5149886,"BERWICK INN TAVERNER","Hotel",3806,145.3450928,67,-38.0305
"Metro","BERWICK",105,"City of Casey",10335184,"BERWICK SPRINGS HOTEL","Hotel",3806,145.337204,68,-38.0588
"Country","WODONGA",30,"Rural City of Wodonga",886535,"BIRALLEE TAVERN","Hotel",3690,146.8656006,71,-36.1273
"Metro","BLACKBURN",66,"City of Whitehorse",4078312,"BLACKBURN HOTEL","Hotel",3130,145.1517029,73,-37.8169
"Country","WODONGA",25,"Rural City of Wodonga",663402,"BLAZING STUMP HOTEL","Hotel",3690,146.9122925,74,-36.1395
"Country","WENDOUREE",40,"City of Ballarat",3042652,"BLUE BELL HOTEL","Hotel",3355,143.8294983,75,-37.5396
"Metro","BENTLEIGH EAST",70,"City of Glen Eira",4853680,"BOUNDARY TAVERNER","Hotel",3165,145.058197,80,-37.9212
"Metro","MELBOURNE",100,"City of Melbourne",8330640,"BOURKE HILL'S WELCOME STRANGER","Hotel",3000,144.9691925,81,-37.812
"Metro","BOX HILL",39,"City of Whitehorse",1653322,"BOX HILL GOLF CLUB","Club",3128,145.121994,84,-37.8397
"Metro","BOX HILL",103,"City of Whitehorse",4598098,"BOX HILL RSL","Club",3128,145.1201935,85,-37.8154
"Metro","BRAYBROOK",45,"City of Maribyrnong",3825751,"BRAYBROOK HOTEL","Hotel",3019,144.8484039,87,-37.7797
"Metro","MERNDA",60,"City of Whittlesea",5227386,"BRIDGE INN HOTEL","Hotel",3754,145.0950928,91,-37.6008
"Metro","JACANA",55,"City of Hume",1406058,"BROADMEADOWS SPORTING CLUB","Club",3047,144.9098053,93,-37.6911
"Metro","COBURG",35,"City of Moreland",2772973,"BROWNS CORNER","Hotel",3058,144.9667969,97,-37.7415
"Metro","BUNDOORA",96,"City of Whittlesea",9355642,"BUNDOORA TAVERNER","Hotel",3083,145.0587006,103,-37.6956
"Metro","NUNAWADING",73,"City of Whitehorse",5567844,"BURVALE HOTEL","Hotel",3131,145.1705017,105,-37.8533
"Metro","PAKENHAM",105,"Shire of Cardinia",4921663,"CARDINIA CLUB","Club",3810,145.4929962,112,-38.077
"Metro","BEACONSFIELD",40,"Shire of Cardinia",1249985,"CARDINIA PARK HOTEL","Hotel",3807,145.3781971,113,-38.02870185
"Metro","EPPING",75,"City of Whittlesea",3326928,"CASA D'ABRUZZO CLUB","Club",3076,145.0196075,118,-37.6381
"Metro","PAKENHAM",50,"Shire of Cardinia",2928576,"CASTELLO'S CARDINIA HOTEL","Hotel",3810,145.4768066,119,-38.0708
"Metro","CAULFIELD EAST",105,"City of Glen Eira",5735230,"CAULFIELD GLASSHOUSE","Club",3145,145.0395966,121,-37.8772
"Metro","ELSTERNWICK",52,"City of Glen Eira",1160594,"CAULFIELD RSL","Club",3185,145.0032959,122,-37.884
"Metro","GLEN WAVERLEY",65,"City of Monash",4561533,"CENTURY CITY WALK","Hotel",3150,145.1643982,127,-37.8814
"Country","ARARAT",33,"Rural City of Ararat",536390,"CHALAMBAR GOLF CLUB","Club",3377,142.9111938,128,-37.2701
"Metro","CHELSEA HEIGHTS",40,"City of Kingston",3103690,"CHELSEA HEIGHTS HOTEL","Hotel",3196,145.1322937,129,-38.0278
"Metro","CHELTENHAM",41,"City of Kingston",1561410,"CHELTENHAM MOORABBIN RSL","Club",3192,145.0657043,130,-37.9678
"Metro","DONCASTER EAST",50,"City of Manningham",3898004,"CHERRY HILL TAVERN","Hotel",3109,145.1705933,131,-37.7633
"Metro","CHIRNSIDE PARK",37,"Shire of Yarra Ranges",765659,"CHIRNSIDE PARK COUNTRY CLUB","Club",3116,145.3255005,132,-37.75
"Country","COLAC",20,"Shire of Colac-Otway",594989,"CITY BOWLS CLUB COLAC","Club",3250,143.5865021,135,-38.348
"Country","BENDIGO",39,"City of Greater Bendigo",505409,"CITY FAMILY HOTEL","Hotel",3550,144.2769928,136,-36.7606
"Country","WARRNAMBOOL",38,"City of Warrnambool",1789096,"CITY MEMORIAL BOWLS CLUB","Club",3280,142.4958038,137,-38.3775
"Metro","CLAYTON SOUTH",29,"City of Kingston",1148249,"CLAYTON BOWLS CLUB","Club",3169,145.1112061,139,-37.9335
"Metro","CLAYTON",71,"City of Monash",1807903,"CLAYTON RSL","Club",3168,145.1226044,140,-37.9254
"Country","CLIFTON SPRINGS",40,"City of Greater Geelong",1960046,"CLIFTON SPRINGS GOLF CLUB","Club",3222,144.5639038,143,-38.1541
"Metro","MELBOURNE",100,"City of Melbourne",6151073,"CLOCKS AT FLINDERS STREET STATION","Club",3000,144.9674988,144,-37.8186
"Metro","EAST RINGWOOD",75,"City of Maroondah",2633925,"CLUB HOTEL","Hotel",3135,145.2389069,145,-37.812
"Metro","FERNTREE GULLY",40,"City of Knox",2599632,"CLUB HOTEL (FERNTREE GULLY)","Hotel",3156,145.2760925,147,-37.8827
"Country","WARRAGUL",30,"Shire of Baw Baw",1178370,"CLUB HOTEL (WARRAGUL)","Club",3820,145.9299011,148,-38.1629
"Metro","NORTH SUNSHINE",60,"City of Brimbank",2970222,"CLUB ITALIA SPORTING CLUB","Club",3020,144.8186951,149,-37.7605
"Metro","BAYSWATER NORTH",105,"City of Maroondah",4459466,"CLUB KILSYTH","Club",3143,145.3036957,150,-37.822
"Metro","LAVERTON",60,"City of Hobsons Bay",3416827,"CLUB LAVERTON","Club",3028,144.7619019,151,-37.8682
"Metro","FOOTSCRAY",30,"City of Maribyrnong",2024308,"CLUB LEEDS","Club",3011,144.9011993,152,-37.7995
"Metro","OFFICER",60,"Shire of Cardinia",2694600,"CLUB OFFICER","Club",3809,145.4344028,153,-38.07589023
"Metro","RINGWOOD",82,"City of Maroondah",2250111,"CLUB RINGWOOD","Club",3134,145.2537994,154,-37.7973
"Country","COBDEN",28,"Shire of Corangamite",590105,"COBDEN GOLF CLUB","Club",3266,143.0758057,156,-38.3227
"Country","COBRAM",43,"Shire of Moira",1139262,"COBRAM HOTEL","Hotel",3644,145.6405945,157,-35.9214
"Country","COLAC",20,"Shire of Colac-Otway",452197,"COLAC BOWLING CLUB","Club",3250,143.5771942,160,-38.3335
"Country","COLAC",25,"Shire of Colac-Otway",532363,"COLAC RSL","Club",3250,143.5906067,161,-38.3392
"Country","CAMPERDOWN",29,"Shire of Corangamite",735487,"COMMERCIAL HOTEL (CAMPERDOWN)","Hotel",3260,143.1481018,174,-38.2343
"Country","SWAN HILL",14,"Rural City of Swan Hill",875412,"COMMERCIAL HOTEL (SWAN HILL)","Hotel",3585,143.5594025,175,-35.337
"Metro","WERRIBEE",75,"City of Wyndham",7205209,"COMMERCIAL TAVERNER","Hotel",3030,144.6605072,176,-37.9022
"Metro","COOLAROO",47,"City of Hume",2941371,"COOLAROO TAVERNER","Hotel",3048,144.9416962,179,-37.6649
"Country","CORRYONG",10,"Shire of Towong",88967,"CORRYONG SPORTING COMPLEX","Club",3707,147.8997955,183,-36.192
"Country","BACCHUS MARSH",40,"Shire of Moorabool",2616765,"COURT HOUSE HOTEL (BACCHUS MARSH)","Hotel",3340,144.436203,185,-37.6754
"Metro","FOOTSCRAY",21,"City of Maribyrnong",1777665,"COURT HOUSE HOTEL (FOOTSCRAY)","Hotel",3011,144.8984985,187,-37.8019
"Metro","PRAHRAN",48,"City of Stonnington",2934937,"COURT JESTER HOTEL","Hotel",3181,144.9931946,188,-37.8506
"Metro","CRAIGIEBURN",70,"City of Hume",4448366,"CRAIGIEBURN SPORTING CLUB","Club",3064,144.9203033,190,-37.599
"Country","BALLARAT",45,"City of Ballarat",2610249,"CRAIG'S ROYAL HOTEL","Hotel",3350,143.857193,189,-37.5626
"Metro","PRESTON",79,"City of Darebin",5216905,"CRAMERS HOTEL","Hotel",3072,145.002594,192,-37.7408
"Metro","CRANBOURNE",50,"City of Casey",1753991,"CRANBOURNE RSL","Club",3977,145.2875977,193,-38.1175
"Metro","ESSENDON",40,"City of Moonee Valley",2432536,"CROSS KEYS HOTEL","Hotel",3040,144.9281006,201,-37.7441
"Metro","LILYDALE",64,"Shire of Yarra Ranges",3908895,"CROWN HOTEL","Hotel",3140,145.3524933,203,-37.7571
"Metro","THORNBURY",54,"City of Darebin",2623237,"CROXTON PARK HOTEL","Hotel",3071,145.0005035,205,-37.7625
"Metro","CROYDON",105,"City of Maroondah",5500946,"CROYDON HOTEL","Hotel",3136,145.2631989,206,-37.7905
"Country","CASTLEMAINE",30,"Shire of Mount Alexander",1592411,"CUMBERLAND HOTEL","Hotel",3450,144.216507,207,-37.0646
"Metro","DANDENONG",103,"City of Greater Dandenong",5892759,"DANDENONG CLUB","Club",3175,145.2250061,208,-37.9705
"Metro","DANDENONG",63,"City of Greater Dandenong",3791764,"DANDENONG RSL","Club",3175,145.219696,209,-37.9857
"Metro","DANDENONG",77,"City of Greater Dandenong",1357037,"DANDENONG WORKERS SOCIAL CLUB","Club",3175,145.2265015,211,-37.9918
"Metro","PRESTON",65,"City of Darebin",2467775,"DAREBIN RSL","Club",3072,144.9985046,212,-37.7441
